timestamp,time_estimate,safe_time_estimate,valid
21726964000,0.011137465,100.01225,1
21727996000,0.010758409,100.01183,1
21729004000,0.010886657,100.01198,1
21730012000,0.014120942,100.01553,1
21731036000,0.014687857,100.01616,1
21732052000,0.009667724,100.010635,1
21733092000,0.006345931,100.00698,1
21734100000,0.026029713,100.02863,1
21735108000,1.4307909,101.57387,1
21736124000,2.7087495,102.97962,1
21737132000,3.1868243,103.50551,1
21738172000,3.221933,103.54413,1
21739228000,3.9238129,104.31619,1
21740236000,6.563499,107.21985,1
21741244000,11.516269,112.66789,1
21742252000,42.762733,147.039,1
21743260000,42.200043,146.42004,1
21744268000,41.56991,145.7269,1
21745276000,40.90345,144.99379,1
21746284000,42.037933,146.24173,1
21747292000,48.714886,153.58638,1
21748300000,55.49019,161.03922,1
21749308000,62.308575,168.53943,1
21750316000,69.17522,176.09274,1
21751324000,76.06226,183.66849,1
21752332000,82.97332,191.27066,1
21753340000,89.89785,198.88763,1
21754348000,96.83214,206.51535,1
21755356000,103.75314,214.12846,1
21756364000,110.68856,221.75742,1
21757372000,117.62336,229.3857,1
21758380000,124.56801,237.02481,1
21759388000,131.50475,244.65523,1
21760396000,138.4542,252.29962,1
21761404000,145.42607,259.9687,1
21762412000,152.38805,267.62686,1
21763420000,159.36066,275.29672,1
21764428000,166.34648,282.98114,1
21765436000,173.32909,290.662,1
21766444000,180.31235,298.3436,1
21767452000,187.29533,306.02487,1
21768460000,194.28448,313.71295,1
21769468000,201.27487,321.40237,1
21770476000,208.26248,329.08875,1
21771484000,215.26225,336.78848,1
21772492000,222.26454,344.491,1
21773500000,229.26826,352.1951,1
21774508000,236.27641,359.90405,1
21775516000,243.27768,367.60544,1
21776524000,250.26155,375.28772,1
21777532000,257.2588,382.98468,1
21778540000,264.23752,390.6613,1
21779548000,271.233,398.35632,1
21780556000,278.22385,406.04623,1
21781564000,285.19443,413.71387,1
21782572000,292.17343,421.39078,1
21783580000,299.13043,429.0435,1
21784588000,306.07428,436.6817,1
21785596000,312.9986,444.29846,1
21786604000,319.9445,451.93893,1
21787612000,326.89178,459.58096,1
21788620000,333.85437,467.2398,1
21789628000,340.80035,474.8804,1
21790636000,347.7493,482.52423,1
21791644000,354.70236,490.1726,1
21792652000,361.6647,497.83118,1
21793660000,368.6193,505.48123,1
21794668000,375.57642,513.1341,1
21795676000,382.54266,520.79694,1
21796684000,389.5218,528.474,1
21797692000,396.4851,536.1336,1
21798700000,403.46313,543.80945,1
21799708000,410.44736,551.4921,1
21800716000,417.42255,559.1648,1
21801724000,424.4041,566.84454,1
21802732000,431.3767,574.5144,1
21803740000,438.35294,582.18823,1
21804748000,445.32462,589.8571,1
21805756000,452.29895,597.5289,1
21806804000,458.8465,604.73114,1
21807812000,460.8811,606.96924,1
21808828000,461.51648,607.66815,1
21809884000,460.82,606.90204,1
21810892000,459.59714,605.5569,1
21811900000,458.39835,604.2382,1
21812908000,457.3175,603.04926,1
21813916000,456.32397,601.95636,1
21814924000,455.32367,600.856,1
21815932000,454.33624,599.7699,1
21816940000,453.33057,598.66364,1
21817948000,452.30417,597.5346,1
21818956000,451.2941,596.4235,1
21819964000,450.2912,595.3203,1
21820972000,449.28275,594.21106,1
21821980000,448.27295,593.1003,1
21822988000,447.25452,591.98,1
21823996000,446.23834,590.8622,1
21825004000,445.2143,589.7357,1
21826012000,444.20868,588.6296,1
21827020000,443.18228,587.50055,1
21828028000,442.1678,586.3846,1
21829036000,441.1585,585.27435,1
21830044000,440.14844,584.16327,1
21831052000,439.14008,583.0541,1
21832060000,438.14835,581.9632,1
21833068000,437.15244,580.8677,1
21834076000,436.14685,579.76154,1
21835084000,435.1551,578.6706,1
21836092000,434.15054,577.5656,1
21837100000,433.1415,576.4557,1
21838108000,432.11597,575.3276,1
21839116000,431.0968,574.2065,1
21840124000,430.0912,573.10034,1
21841132000,429.07202,571.97925,1
21842140000,428.06723,570.87396,1
21843148000,427.0761,569.78375,1
21844156000,426.06168,568.66785,1
21845164000,425.06015,567.56616,1
21846172000,424.06598,566.4726,1
21847180000,423.0548,565.3603,1
21848188000,422.05356,564.2589,1
21849196000,421.04572,563.15027,1
21850204000,420.04657,562.0512,1
