timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
680608000,0.0,0.0,1.0,4.0,6.0,0.0,0.0,176,1,0,1,240,1,1
712240000,0.0,0.0,1.0,4.0,6.0,0.0,0.0,176,1,0,1,240,1,1
829252000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,1,1,240,1,1
833272000,0.0,0.0,129.0,6.0,0.0,0.0,0.0,176,1,0,1,240,1,1
840148000,0.0,0.0,1.0,191.0,-1.0,-1.0,0.0,1001,1,1,1,191,0,1
855636000,0.0,0.0,129.0,4.0,6.0,0.0,0.0,176,1,0,1,240,1,1
855644000,0.0,0.0,129.0,6.0,0.0,0.0,0.0,176,1,0,1,240,1,1
858820000,0.0,0.0,1.0,191.0,-1.0,-1.0,0.0,1001,1,1,1,191,0,1
873808000,0.0,0.0,1.0,191.0,-1.0,-1.0,0.0,1001,1,1,1,191,0,1
